name,id,time,channel,user_joined
dinkstar,353332394541187074,2024-01-02 07:00:02.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:00:04.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:00:11.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:00:12.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-02 07:00:34.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-02 07:00:36.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-02 07:00:36.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:00:38.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-02 07:00:45.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:00:46.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-02 07:00:59.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-02 07:01:04.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-02 07:08:30.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:09:01.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:09:04.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:09:05.000000,Larry's Gym,0
bemno,369989877229682688,2024-01-02 07:09:26.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:12:59.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:14:15.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:14:17.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:14:19.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-02 07:16:59.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:17:01.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-02 07:19:25.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-02 07:19:26.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:21:36.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:21:39.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:21:41.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:21:44.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:21:46.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:21:48.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:24:38.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:24:41.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:24:41.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-02 07:24:43.000000,Larry's Gym,0
bemno,369989877229682688,2024-01-02 07:53:11.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-02 07:53:20.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-02 07:53:56.000000,Larry's Gym,0
kyboydigital,639283802308476970,2024-01-03 07:00:00.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-03 07:00:03.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-03 07:00:05.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-03 07:01:46.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-03 07:01:50.000000,Larry's Gym,1
bemno,369989877229682688,2024-01-03 07:03:08.000000,Larry's Gym,1
kyboydigital,639283802308476970,2024-01-03 07:49:51.000000,Larry's Gym,0
bemno,369989877229682688,2024-01-03 07:49:53.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-03 07:49:55.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-03 07:49:56.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-04 07:00:00.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-04 07:00:01.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-04 07:05:29.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-04 07:05:31.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-04 07:05:56.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-04 07:05:57.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-04 07:18:53.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-04 07:18:54.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-04 07:20:29.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-04 07:20:31.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-04 08:00:12.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-04 08:00:14.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-05 07:00:01.962504,Larry's Gym,1
jam4bears,390403088722165762,2024-01-05 07:00:38.021303,Larry's Gym,0
jam4bears,390403088722165762,2024-01-05 07:00:42.640370,Larry's Gym,1
dinkstar,353332394541187074,2024-01-05 07:01:35.188776,Larry's Gym,0
dinkstar,353332394541187074,2024-01-05 07:01:40.899200,Larry's Gym,1
bemno,369989877229682688,2024-01-05 07:02:40.769834,Larry's Gym,1
jam4bears,390403088722165762,2024-01-05 07:02:54.290333,Larry's Gym,1
jam4bears,390403088722165762,2024-01-05 07:02:56.599730,Larry's Gym,0
jam4bears,390403088722165762,2024-01-05 07:10:09.069525,Larry's Gym,1
jam4bears,390403088722165762,2024-01-05 07:10:11.212220,Larry's Gym,0
jam4bears,390403088722165762,2024-01-05 07:11:59.236364,Larry's Gym,1
jam4bears,390403088722165762,2024-01-05 07:12:01.281668,Larry's Gym,0
dinkstar,353332394541187074,2024-01-05 07:25:20.044907,Larry's Gym,1
dinkstar,353332394541187074,2024-01-05 07:25:22.258821,Larry's Gym,0
dinkstar,353332394541187074,2024-01-05 07:26:58.749811,Larry's Gym,1
dinkstar,353332394541187074,2024-01-05 07:27:01.130418,Larry's Gym,0
jam4bears,390403088722165762,2024-01-05 07:52:36.665280,Larry's Gym,0
bemno,369989877229682688,2024-01-05 07:55:00.414370,Larry's Gym,0
dinkstar,353332394541187074,2024-01-05 07:55:02.102723,Larry's Gym,0
jam4bears,390403088722165762,2024-01-06 07:00:01.665280,Larry's Gym,1
shamupete,621938294422241301,2024-01-06 07:00:03.665280,Larry's Gym,1
jam4bears,390403088722165762,2024-01-06 08:03:42.098384,Larry's Gym,0
shamupete,621938294422241301,2024-01-06 08:03:42.098384,Larry's Gym,0
dinkstar,353332394541187074,2024-01-07 07:00:01.000000,Larry's Gym,1
jam4bears,390403088722165762,2024-01-07 07:00:01.000000,Larry's Gym,1
shamupete,621938294422241301,2024-01-07 07:00:03.000000,Larry's Gym,1
bemno,369989877229682688,2024-01-07 07:02:04.000000,Larry's Gym,1
dinkstar,353332394541187074,2024-01-07 07:49:01.000000,Larry's Gym,0
jam4bears,390403088722165762,2024-01-07 07:49:01.000000,Larry's Gym,0
shamupete,621938294422241301,2024-01-07 07:49:03.000000,Larry's Gym,0
bemno,369989877229682688,2024-01-07 07:49:04.000000,Larry's Gym,0
dinkstar,353332394541187074,2024-01-08 07:00:00.091173,Larry's Gym,1
bemno,369989877229682688,2024-01-08 07:02:50.851232,Larry's Gym,1
jam4bears,390403088722165762,2024-01-08 07:11:15.114821,Larry's Gym,1
jam4bears,390403088722165762,2024-01-08 07:18:44.999526,Larry's Gym,1
jam4bears,390403088722165762,2024-01-08 07:18:46.205371,Larry's Gym,0
jam4bears,390403088722165762,2024-01-08 07:19:01.943589,Larry's Gym,1
jam4bears,390403088722165762,2024-01-08 07:19:03.005574,Larry's Gym,0
jam4bears,390403088722165762,2024-01-08 08:06:40.971825,Larry's Gym,0
bemno,369989877229682688,2024-01-08 08:06:42.758957,Larry's Gym,0
dinkstar,353332394541187074,2024-01-08 08:06:44.426555,Larry's Gym,0
bemno,369989877229682688,2024-01-09 07:00:00.495128,Larry's Gym,1
jam4bears,390403088722165762,2024-01-09 07:00:01.882806,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:01:09.040518,Larry's Gym,0
dinkstar,353332394541187074,2024-01-09 07:01:12.844923,Larry's Gym,1
jam4bears,390403088722165762,2024-01-09 07:01:41.072745,Larry's Gym,0
jam4bears,390403088722165762,2024-01-09 07:01:44.356125,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:08:00.058469,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:09:00.164432,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:09:02.559041,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:09:04.051087,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:09:08.244857,Larry's Gym,0
Larry's Gym Bot,1191145890925260810,2024-01-09 07:09:09.539854,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:10:00.170764,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:10:04.255912,Larry's Gym,1
Larry's Gym Bot,1191145890925260810,2024-01-09 07:10:07.195857,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:10:15.796667,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:10:17.651133,Larry's Gym,0
Larry's Gym Bot,1191145890925260810,2024-01-09 07:10:19.970459,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:10:24.286822,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:10:25.931654,Larry's Gym,0
dinkstar,353332394541187074,2024-01-09 07:10:28.864822,Larry's Gym,1
dinkstar,353332394541187074,2024-01-09 07:10:30.382619,Larry's Gym,0
dinkstar,353332394541187074,2024-01-09 07:10:55.365301,Larry's Gym,0
jam4bears,390403088722165762,2024-01-09 07:11:08.364367,Larry's Gym,1
jam4bears,390403088722165762,2024-01-09 07:11:09.415682,Larry's Gym,0
jam4bears,390403088722165762,2024-01-09 07:13:14.221497,Larry's Gym,1
jam4bears,390403088722165762,2024-01-09 07:13:15.555950,Larry's Gym,0
bemno,369989877229682688,2024-01-09 07:45:08.106216,Larry's Gym,1
bemno,369989877229682688,2024-01-09 07:45:09.150753,Larry's Gym,0
bemno,369989877229682688,2024-01-09 07:46:05.660829,Larry's Gym,1
bemno,369989877229682688,2024-01-09 07:46:06.864806,Larry's Gym,1
bemno,369989877229682688,2024-01-09 07:46:08.164710,Larry's Gym,0
bemno,369989877229682688,2024-01-09 07:46:09.369462,Larry's Gym,0
jam4bears,390403088722165762,2024-01-09 07:47:23.377890,Larry's Gym,0
bemno,369989877229682688,2024-01-09 07:47:24.254878,Larry's Gym,0
dinkstar,353332394541187074,2024-01-10 07:00:00.077600,Larry's Gym,1
jam4bears,390403088722165762,2024-01-10 07:00:01.871401,Larry's Gym,1
jam4bears,390403088722165762,2024-01-10 07:01:18.323034,Larry's Gym,1
jam4bears,390403088722165762,2024-01-10 07:01:19.327572,Larry's Gym,0
jam4bears,390403088722165762,2024-01-10 07:03:48.817665,Larry's Gym,1
